"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/12/2017 01:00,,,18.6,0.987
1/12/2017 02:00,7.2,7.6,18.0,0.987
1/12/2017 03:00,5.7,6.8,17.7,0.987
1/12/2017 04:00,8.1,3.1,17.5,0.987
1/12/2017 05:00,5.5,4.5,16.9,0.988
1/12/2017 06:00,4.7,-0.2,16.8,0.989
1/12/2017 07:00,9.3,6.2,17.0,0.990
1/12/2017 08:00,19.7,13.0,18.6,0.990
1/12/2017 09:00,15.4,12.6,20.0,0.990
1/12/2017 10:00,11.8,2.4,21.9,0.990
1/12/2017 11:00,10.6,7.1,19.8,0.991
1/12/2017 12:00,7.2,5.8,19.7,0.991
1/12/2017 13:00,12.8,5.1,19.4,0.991
1/12/2017 14:00,7.3,5.1,18.9,0.991
1/12/2017 15:00,10.2,0.9,17.9,0.991
1/12/2017 16:00,5.3,,18.3,0.990
1/12/2017 17:00,10.3,12.0,17.7,0.991
1/12/2017 18:00,15.1,4.3,17.2,0.991
1/12/2017 19:00,17.5,3.8,16.6,0.991
1/12/2017 20:00,11.3,4.7,16.1,0.992
1/12/2017 21:00,11.5,8.4,15.5,0.992
1/12/2017 22:00,20.1,7.5,15.3,0.992
1/12/2017 23:00,12.5,0.9,14.6,0.992
2/12/2017 00:00,2.7,1.7,13.8,0.992
2/12/2017 01:00,9.2,4.0,14.0,0.992
2/12/2017 02:00,17.8,7.0,14.2,0.992
2/12/2017 03:00,20.2,7.1,14.1,0.992
2/12/2017 04:00,19.5,6.2,14.0,0.992
2/12/2017 05:00,14.0,5.0,13.9,0.993
2/12/2017 06:00,19.7,8.0,14.0,0.993
2/12/2017 07:00,18.5,3.0,14.9,0.994
2/12/2017 08:00,17.9,,16.0,0.994
2/12/2017 09:00,21.1,1.7,16.4,0.995
2/12/2017 10:00,18.1,0.2,16.5,0.996
2/12/2017 11:00,19.1,4.4,17.6,0.996
2/12/2017 12:00,22.4,4.5,17.9,0.996
2/12/2017 13:00,18.6,3.9,17.8,0.995
2/12/2017 14:00,18.1,2.0,16.5,0.996
2/12/2017 15:00,6.0,,15.7,0.996
2/12/2017 16:00,,,14.7,0.997
2/12/2017 17:00,6.0,3.2,15.4,0.996
2/12/2017 18:00,13.1,7.6,16.2,0.996
2/12/2017 19:00,22.9,8.0,15.4,0.997
2/12/2017 20:00,16.4,4.7,14.4,0.997
2/12/2017 21:00,17.5,3.0,14.6,0.998
2/12/2017 22:00,19.8,6.7,14.1,0.998
2/12/2017 23:00,26.4,9.4,13.8,0.998
3/12/2017 00:00,17.0,8.2,13.5,0.998
3/12/2017 01:00,15.7,7.9,13.4,0.998
3/12/2017 02:00,15.7,0.5,12.5,0.997
3/12/2017 03:00,15.4,1.4,12.2,0.997
3/12/2017 04:00,14.7,2.6,12.0,0.997
3/12/2017 05:00,7.5,0.0,12.0,0.997
3/12/2017 06:00,6.4,3.0,12.2,0.998
3/12/2017 07:00,7.6,1.5,12.6,0.998
3/12/2017 08:00,8.9,,14.0,0.999
3/12/2017 09:00,14.5,,15.8,0.999
3/12/2017 10:00,12.3,1.9,16.8,0.999
3/12/2017 11:00,12.2,1.0,15.7,0.999
3/12/2017 12:00,9.5,0.4,17.9,0.998
3/12/2017 13:00,5.6,2.1,15.6,0.999
3/12/2017 14:00,10.6,3.6,16.9,0.998
3/12/2017 15:00,13.5,2.6,17.1,0.998
3/12/2017 16:00,14.4,,17.5,0.997
3/12/2017 17:00,7.9,,17.3,0.998
3/12/2017 18:00,8.6,6.0,16.8,0.998
3/12/2017 19:00,11.7,3.3,15.8,0.998
3/12/2017 20:00,1.8,-0.3,13.9,0.999
3/12/2017 21:00,,,12.9,0.999
3/12/2017 22:00,,0.1,13.0,0.999
3/12/2017 23:00,12.3,5.3,12.9,1.000
4/12/2017 00:00,,,12.9,0.999
4/12/2017 01:00,9.0,3.0,12.7,0.999
4/12/2017 02:00,4.0,1.4,12.7,0.999
4/12/2017 03:00,6.8,4.9,12.8,0.998
